type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day
CASH_OUT,63941.77,30607.63,0.0,2170716.0,2234658.0,18
DEBIT,1825.26,30058.0,28232.74,62697.57,64522.83,20
PAYMENT,19636.81,0.0,0.0,0.0,0.0,17
PAYMENT,10699.81,0.0,0.0,0.0,0.0,13
PAYMENT,1661.72,311.0,0.0,0.0,0.0,16
CASH_OUT,293693.5,0.0,0.0,324929.66,618623.1,19
PAYMENT,47200.73,0.0,0.0,0.0,0.0,23
PAYMENT,27230.75,0.0,0.0,0.0,0.0,14
CASH_OUT,197083.08,115587.0,0.0,313627.4,510710.5,10
TRANSFER,895871.6,17564.43,0.0,1356117.5,2251989.0,22
CASH_IN,450468.84,6604749.5,7055218.5,715312.0,264843.16,19
CASH_OUT,122328.63,6470.01,0.0,258530.0,300014.1,19
PAYMENT,34334.91,30551.0,0.0,0.0,0.0,11
PAYMENT,2091.11,147648.92,145557.81,0.0,0.0,15
CASH_OUT,101126.52,0.0,0.0,2916015.2,3017141.8,20
CASH_IN,94866.67,11741913.0,11836779.0,337724.7,242858.03,19
CASH_OUT,400230.0,0.0,0.0,1030745.25,1430975.2,18
PAYMENT,11766.71,354.0,0.0,0.0,0.0,18
CASH_OUT,312061.6,82002.0,0.0,0.0,312061.6,18
CASH_OUT,71713.38,0.0,0.0,10905233.0,10976946.0,13
CASH_OUT,502.13,0.0,0.0,5291807.5,5292309.5,10
CASH_OUT,136586.73,0.0,0.0,1662827.5,1799414.2,9
CASH_OUT,93471.67,10778.0,0.0,0.0,93471.67,23
PAYMENT,24848.84,32683.0,7834.16,0.0,0.0,11
PAYMENT,43967.49,0.0,0.0,0.0,0.0,12
CASH_IN,42790.33,8053.0,50843.33,0.0,0.0,19
CASH_IN,190509.73,1921.0,192430.73,0.0,0.0,14
CASH_OUT,612302.0,9069.0,0.0,0.0,612302.0,11
CASH_OUT,17965.93,31473.0,13507.07,0.0,17965.93,23
CASH_OUT,230132.86,0.0,0.0,1536928.1,1767061.0,12
PAYMENT,37011.75,100311.0,63299.25,0.0,0.0,10
CASH_IN,231348.17,4286.0,235634.17,0.0,0.0,20
CASH_OUT,11614.82,10873.0,0.0,83735.1,95349.92,23
CASH_OUT,217783.48,303241.0,85457.51,199714.0,0.0,18
