type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day,isFraud
PAYMENT,6359.28,1442.0,0.0,0.0,0.0,0,0
CASH_OUT,71335.66,39897.0,0.0,0.0,71335.66,20,0
CASH_IN,408335.06,3952386.8,4360721.5,713883.94,305548.84,11,0
CASH_IN,423687.25,11034.0,434721.25,753780.7,330093.44,9,0
PAYMENT,2790.0,814.0,0.0,0.0,0.0,23,0
CASH_OUT,250402.53,161444.0,0.0,261402.12,550743.94,9,0
PAYMENT,5184.28,20830.0,15645.72,0.0,0.0,14,0
TRANSFER,1341405.2,11077.0,0.0,768303.5,2109708.8,17,0
CASH_OUT,123261.4,0.0,0.0,164914.16,288175.56,13,0
PAYMENT,6957.58,2362.44,0.0,0.0,0.0,20,0
CASH_IN,371524.38,890351.6,1261876.0,478718.97,107194.6,11,0
PAYMENT,14253.65,323911.78,309658.12,0.0,0.0,16,0
PAYMENT,1752.24,0.0,0.0,0.0,0.0,17,0
CASH_OUT,221425.0,44144.0,0.0,520185.1,741610.1,14,0
PAYMENT,281.15,59226.26,58945.11,0.0,0.0,13,0
CASH_OUT,181746.14,0.0,0.0,464227.34,645973.5,12,0
CASH_OUT,178405.62,0.0,0.0,3277174.5,3455580.0,12,0
PAYMENT,12998.75,22872.0,9873.25,0.0,0.0,16,0
CASH_IN,283499.38,100345.0,383844.38,1637295.5,1353796.1,17,0
CASH_OUT,199692.81,29978.0,0.0,0.0,199692.81,10,0
CASH_OUT,149936.31,24538.0,0.0,62942.0,212878.31,18,0
CASH_IN,192881.12,15994802.0,16187683.0,225517.6,32636.48,15,0
CASH_IN,335816.84,11029953.0,11365770.0,2094167.6,1758350.9,12,0
CASH_OUT,233659.19,10611.0,0.0,479710.28,713369.44,13,0
CASH_OUT,152155.52,30668.0,0.0,219878.44,372033.94,16,0
CASH_OUT,227708.34,156646.0,0.0,0.0,227708.34,16,0
CASH_OUT,21411.4,154.0,0.0,0.0,21411.4,19,0
PAYMENT,7269.28,81825.53,74556.25,0.0,0.0,13,0
CASH_OUT,113546.02,12576.0,0.0,0.0,113546.02,21,0
CASH_OUT,10640.14,0.0,0.0,13157.09,23797.24,19,0
CASH_IN,122290.17,51889.0,174179.17,7246.87,0.0,10,0
CASH_IN,140148.33,13892.0,154040.33,0.0,0.0,13,0
CASH_IN,322202.75,1197096.4,1519299.1,424582.88,102380.12,20,0
CASH_OUT,27758.56,45867.0,18108.44,915123.75,942882.3,13,0
PAYMENT,24120.92,401.0,0.0,0.0,0.0,11,0
CASH_OUT,76207.78,221.0,0.0,18104682.0,18180890.0,10,0
CASH_OUT,175961.8,0.0,0.0,588557.94,764519.75,15,0
CASH_IN,56886.83,40294.0,97180.83,4562153.0,4505266.5,14,0
CASH_OUT,251360.0,99789.03,0.0,4561044.5,4812404.5,10,0
CASH_OUT,3967.27,20785.0,16817.73,0.0,3967.27,21,0
CASH_IN,611687.7,3854432.8,4466120.5,2017481.4,1405793.8,20,0
CASH_OUT,201420.94,68943.0,0.0,0.0,201420.94,18,0
PAYMENT,15057.76,0.0,0.0,0.0,0.0,19,0
